
Rk,Gtm,Week,Date,Day,HorA,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,Yds.1,Att,Yds,TD,Y/A,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Yds,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,Pen,Yds,FL,Int,TO,ToP,Team,Year
1.0,1.0,1.0,2019-09-08,Sun,,DET,T,27,27,OT,29,54,53.7,275,2,5.1,5.0,72.7,5,33,23,112,0,4.9,82,387,4.72,4,4,1,1,8,380,16,3,2,21,9,22,0,0,7,35,0,1,1,30:37,crd,2019
2.0,2.0,2.0,2019-09-15,Sun,@,BAL,L,17,23,,25,40,62.5,329,0,8.2,8.23,88.4,3,20,11,20,1,1.8,54,349,6.46,3,3,0,0,5,267,12,2,1,15,2,11,1,1,8,70,0,0,0,22:22,crd,2019
3.0,3.0,3.0,2019-09-22,Sun,,CAR,L,20,38,,30,43,69.8,127,2,3.0,1.79,68.8,8,46,22,121,0,5.5,73,248,3.4,2,2,2,2,5,212,9,10,2,21,9,17,1,1,7,52,0,2,2,31:44,crd,2019
4.0,4.0,4.0,2019-09-29,Sun,,SEA,L,10,27,,22,32,68.8,206,0,6.4,5.03,73.2,4,35,23,115,1,5.0,59,321,5.44,3,1,1,1,3,141,12,6,2,20,3,9,0,0,7,44,0,1,1,26:36,crd,2019
5.0,5.0,5.0,2019-10-06,Sun,@,CIN,W,26,23,,20,32,62.5,248,0,7.8,7.75,86.5,1,5,38,266,2,7.0,71,514,7.24,5,4,2,2,3,150,13,11,2,26,6,13,1,1,12,96,0,0,0,31:03,crd,2019
6.0,6.0,6.0,2019-10-13,Sun,,ATL,W,34,33,,27,37,73.0,340,3,9.2,10.81,128.2,0,0,29,102,1,3.5,66,442,6.7,2,2,4,4,3,156,16,6,2,24,7,13,1,1,8,57,0,0,0,27:13,crd,2019
7.0,7.0,7.0,2019-10-20,Sun,@,NYG,W,27,21,,14,21,66.7,89,0,4.2,4.24,75.3,2,15,38,156,3,4.1,61,245,4.02,2,2,3,3,5,169,8,8,2,18,7,15,1,1,10,85,0,0,0,29:59,crd,2019
8.0,8.0,8.0,2019-10-27,Sun,@,NOR,L,9,31,,19,34,55.9,197,0,5.8,5.79,72.8,4,23,11,40,0,3.6,49,237,4.84,3,3,0,0,5,238,8,2,0,10,2,12,0,2,5,35,0,0,0,22:01,crd,2019
9.0,9.0,9.0,2019-10-31,Thu,,SFO,L,25,28,,17,24,70.8,204,2,8.5,10.17,124.3,3,37,23,153,1,6.7,50,357,7.14,1,1,2,2,5,253,7,10,2,19,2,8,0,0,9,65,0,0,0,25:29,crd,2019
10.0,10.0,10.0,2019-11-10,Sun,@,TAM,L,27,30,,28,45,62.2,342,3,7.6,7.93,98.6,2,8,18,75,0,4.2,65,417,6.42,2,2,3,3,3,158,14,4,2,20,1,10,2,3,11,87,1,1,2,23:57,crd,2019
11.0,11.0,11.0,2019-11-17,Sun,@,SFO,L,26,36,,24,33,72.7,131,2,4.0,5.18,99.4,4,19,25,135,1,5.4,62,266,4.29,2,2,3,2,4,202,9,9,3,21,3,10,1,1,10,104,2,0,2,31:23,crd,2019
12.0,12.0,13.0,2019-12-01,Sun,,LAR,L,7,34,,19,34,55.9,124,0,3.6,2.32,51.6,6,39,21,74,1,3.5,61,198,3.25,0,0,1,1,7,311,9,2,2,13,2,13,2,4,2,7,0,1,1,25:23,crd,2019
13.0,13.0,14.0,2019-12-08,Sun,,PIT,L,17,23,,20,30,66.7,165,2,5.5,2.33,63.2,5,29,22,71,0,3.2,57,236,4.14,1,1,2,2,3,164,11,5,1,17,4,11,1,3,7,75,0,3,3,28:06,crd,2019
14.0,14.0,15.0,2019-12-15,Sun,,CLE,W,38,24,,19,25,76.0,219,1,8.8,7.76,98.6,0,0,35,226,4,6.5,60,445,7.42,1,1,5,5,2,79,11,14,1,26,4,8,1,1,5,34,0,1,1,29:11,crd,2019
15.0,15.0,16.0,2019-12-22,Sun,@,SEA,W,27,13,,15,27,55.6,159,1,5.9,6.63,85.3,2,8,40,253,2,6.3,69,412,5.97,3,2,3,3,6,257,8,12,1,21,5,15,1,1,5,47,0,0,0,34:53,crd,2019
16.0,16.0,17.0,2019-12-29,Sun,@,LAR,L,24,31,,27,43,62.8,322,2,7.5,6.33,81.7,1,3,17,71,1,4.2,61,393,6.44,1,1,3,3,3,151,13,5,4,22,5,10,0,0,8,63,3,2,5,23:02,crd,2019
,,,,,,,5-10-1,361,442,,355,554,64.1,3477,20,6.3,6.02,84.6,50,320,396,1990,18,5.0,1000,5467,5.47,35,31,35,34,70,3288,176,109,29,314,71,197,13,20,121,956,6,12,18,442:59,crd,2019
1.0,1.0,1.0,2020-09-13,Sun,@,SFO,W,24,20,,26,40,65.0,224,1,5.6,4.98,77.5,2,6,36,180,2,5.0,78,404,5.18,3,1,3,3,4,191,12,13,4,29,7,14,0,0,9,102,0,1,1,31:26,crd,2020
2.0,2.0,2.0,2020-09-20,Sun,,WAS,W,30,15,,26,38,68.4,278,1,7.3,6.66,87.4,3,8,32,160,2,5.0,73,438,6.0,3,3,3,3,4,197,13,8,1,22,7,17,2,2,11,97,0,1,1,33:45,crd,2020
3.0,3.0,3.0,2020-09-27,Sun,,DET,L,23,26,,23,35,65.7,268,2,7.7,4.94,72.1,1,2,27,109,1,4.0,63,377,5.98,1,1,3,2,2,92,16,10,2,28,4,10,1,1,7,38,0,3,3,27:10,crd,2020
